name	volume	thickness	area	meancurv
Left-bankssts	1931.0	2.6260000000000003	800.0	0.107
Left-caudalanteriorcingulate	907.0	2.53	399.0	0.128
Left-caudalmiddlefrontal	6888.0	2.627	2424.0	0.132
Left-cuneus	2345.0	1.7730000000000001	1286.0	0.15
Left-entorhinal	2868.0	3.68	552.0	0.102
Left-fusiform	8959.0	2.758	2890.0	0.134
Left-inferiorparietal	10115.0	2.546	3646.0	0.11699999999999999
Left-inferiortemporal	8799.0	2.766	2799.0	0.122
Left-isthmuscingulate	2468.0	2.549	912.0	0.13
Left-lateraloccipital	10661.0	2.134	4802.0	0.132
Left-lateralorbitofrontal	6948.0	2.5989999999999998	2524.0	0.14
Left-lingual	6065.0	1.9709999999999999	3038.0	0.14800000000000002
Left-medialorbitofrontal	4116.0	2.306	1576.0	0.11900000000000001
Left-middletemporal	9110.0	2.9389999999999996	2602.0	0.125
Left-parahippocampal	2172.0	3.0780000000000003	656.0	0.09699999999999999
Left-paracentral	3019.0	2.419	1172.0	0.095
Left-parsopercularis	4562.0	2.588	1539.0	0.11900000000000001
Left-parsorbitalis	2174.0	2.7560000000000002	580.0	0.129
Left-parstriangularis	3218.0	2.525	1159.0	0.128
Left-pericalcarine	1546.0	1.36	1332.0	0.135
Left-postcentral	8415.0	2.052	3748.0	0.11199999999999999
Left-posteriorcingulate	3000.0	2.568	1033.0	0.146
Left-precentral	12565.0	2.653	4343.0	0.107
Left-precuneus	8290.0	2.475	3110.0	0.13
Left-rostralanteriorcingulate	2425.0	2.997	776.0	0.126
Left-rostralmiddlefrontal	13987.0	2.4090000000000003	5138.0	0.151
Left-superiorfrontal	21996.0	2.7710000000000004	6829.0	0.133
Left-superiorparietal	11466.0	2.178	4834.0	0.122
Left-superiortemporal	10368.0	2.839	3254.0	0.107
Left-supramarginal	10199.0	2.6210000000000004	3585.0	0.131
Left-frontalpole	775.0	2.498	216.0	0.135
Left-temporalpole	2063.0	3.6460000000000004	418.0	0.168
Left-transversetemporal	956.0	2.2769999999999997	386.0	0.12
Left-insula	6172.0	3.138	1967.0	0.126
BrainSegVolNotVent	997114.0	997114.0	76322.0	997114.0
eTIV	1001812.959113	1001812.959113	997114.0	1001812.959113
