name	volume	thickness	area	meancurv
Left-G&S_frontomargin	2366.0	2.458	853.0	0.14300000000000002
Left-G&S_occipital_inf	3422.0	2.688	975.0	0.133
Left-G&S_paracentral	3097.0	2.3409999999999997	1056.0	0.107
Left-G&S_subcentral	3781.0	2.734	1191.0	0.127
Left-G&S_transv_frontopol	1687.0	2.813	443.0	0.145
Left-G&S_cingul-Ant	4555.0	2.9789999999999996	1413.0	0.11599999999999999
Left-G&S_cingul-Mid-Ant	2202.0	2.897	802.0	0.113
Left-G&S_cingul-Mid-Post	2593.0	2.728	927.0	0.11699999999999999
Left-G_cingul-Post-dorsal	1908.0	3.125	493.0	0.165
Left-G_cingul-Post-ventral	967.0	2.8360000000000003	297.0	0.12300000000000001
Left-G_cuneus	3782.0	1.756	1924.0	0.14400000000000002
Left-G_front_inf-Opercular	4769.0	2.88	1298.0	0.124
Left-G_front_inf-Orbital	1243.0	2.7960000000000003	309.0	0.151
Left-G_front_inf-Triangul	3038.0	2.9019999999999997	813.0	0.138
Left-G_front_middle	11840.0	2.944	2930.0	0.133
Left-G_front_sup	18314.0	3.1460000000000004	4531.0	0.129
Left-G_Ins_lg&S_cent_ins	1616.0	3.161	493.0	0.11599999999999999
Left-G_insular_short	2854.0	3.612	568.0	0.129
Left-G_occipital_middle	4642.0	2.498	1498.0	0.113
Left-G_occipital_sup	2440.0	2.141	1057.0	0.151
Left-G_oc-temp_lat-fusifor	4950.0	3.011	1202.0	0.158
Left-G_oc-temp_med-Lingual	5458.0	1.851	2467.0	0.154
Left-G_oc-temp_med-Parahip	4066.0	3.182	936.0	0.12
Left-G_orbital	7178.0	2.938	1899.0	0.147
Left-G_pariet_inf-Angular	6858.0	2.762	1954.0	0.125
Left-G_pariet_inf-Supramar	6123.0	2.9789999999999996	1648.0	0.128
Left-G_parietal_sup	4185.0	2.421	1378.0	0.10099999999999999
Left-G_postcentral	4091.0	2.1919999999999997	1572.0	0.109
Left-G_precentral	5785.0	3.0860000000000003	1402.0	0.086
Left-G_precuneus	7217.0	2.943	1857.0	0.132
Left-G_rectus	2616.0	2.661	704.0	0.142
Left-G_subcallosal	1224.0	2.475	483.0	0.11199999999999999
Left-G_temp_sup-G_T_transv	1701.0	2.8680000000000003	455.0	0.12
Left-G_temp_sup-Lateral	6287.0	3.27	1323.0	0.136
Left-G_temp_sup-Plan_polar	2292.0	4.101	516.0	0.09300000000000001
Left-G_temp_sup-Plan_tempo	1727.0	2.638	591.0	0.073
Left-G_temporal_inf	8116.0	3.18	1750.0	0.154
Left-G_temporal_middle	7015.0	2.977	1729.0	0.135
Left-Lat_Fis-ant-Horizont	478.0	2.32	236.0	0.086
Left-Lat_Fis-ant-Vertical	519.0	2.702	253.0	0.134
Left-Lat_Fis-post	1735.0	2.784	805.0	0.11699999999999999
Left-Pole_occipital	3505.0	1.835	1641.0	0.14
Left-Pole_temporal	6715.0	3.2710000000000004	1363.0	0.138
Left-S_calcarine	3570.0	1.734	2418.0	0.132
Left-S_central	3752.0	1.9380000000000002	2174.0	0.096
Left-S_cingul-Marginalis	1800.0	2.427	798.0	0.11199999999999999
Left-S_circular_insula_ant	884.0	2.985	350.0	0.092
Left-S_circular_insula_inf	2637.0	3.221	1031.0	0.092
Left-S_circular_insula_sup	2844.0	2.8110000000000004	1271.0	0.10099999999999999
Left-S_collat_transv_ant	1849.0	2.544	823.0	0.099
Left-S_collat_transv_post	1221.0	2.211	518.0	0.154
Left-S_front_inf	4300.0	2.426	1943.0	0.121
Left-S_front_middle	2059.0	2.181	1037.0	0.11599999999999999
Left-S_front_sup	4863.0	2.492	2033.0	0.09699999999999999
Left-S_interm_prim-Jensen	327.0	3.102	137.0	0.133
Left-S_intrapariet&P_trans	3266.0	2.0269999999999997	1652.0	0.1
Left-S_oc_middle&Lunatus	1548.0	2.0540000000000003	911.0	0.127
Left-S_oc_sup&transversal	1863.0	2.059	1022.0	0.122
Left-S_occipital_ant	716.0	2.089	361.0	0.102
Left-S_oc-temp_lat	1232.0	2.6860000000000004	528.0	0.124
Left-S_oc-temp_med&Lingual	3529.0	2.469	1570.0	0.14300000000000002
Left-S_orbital_lateral	661.0	2.331	327.0	0.14300000000000002
Left-S_orbital_med-olfact	1250.0	2.5140000000000002	635.0	0.11599999999999999
Left-S_orbital-H_Shaped	3830.0	2.928	1247.0	0.136
Left-S_parieto_occipital	3327.0	2.231	1637.0	0.127
Left-S_pericallosal	1165.0	2.477	660.0	0.127
Left-S_postcentral	4546.0	2.282	2163.0	0.11199999999999999
Left-S_precentral-inf-part	3324.0	2.608	1276.0	0.111
Left-S_precentral-sup-part	2571.0	2.69	1093.0	0.095
Left-S_suborbital	1324.0	2.739	542.0	0.109
Left-S_subparietal	2124.0	2.802	922.0	0.14300000000000002
Left-S_temporal_inf	2528.0	2.585	1163.0	0.109
Left-S_temporal_sup	11932.0	2.484	5024.0	0.113
Left-S_temporal_transverse	643.0	2.336	348.0	0.111
BrainSegVolNotVent	1221261.0	1221261.0	89649.2	1221261.0
eTIV	1791998.1306220002	1791998.1306220002	1221261.0	1791998.1306220002
