name	volume	thickness	area	meancurv
Left-G&S_frontomargin	2625.0	2.485	956.0	0.14300000000000002
Left-G&S_occipital_inf	3611.0	2.719	1120.0	0.121
Left-G&S_paracentral	2841.0	2.57	893.0	0.084
Left-G&S_subcentral	3546.0	3.225	955.0	0.124
Left-G&S_transv_frontopol	2602.0	2.659	653.0	0.171
Left-G&S_cingul-Ant	4400.0	2.9819999999999998	1398.0	0.111
Left-G&S_cingul-Mid-Ant	2266.0	2.995	783.0	0.11
Left-G&S_cingul-Mid-Post	2686.0	2.742	932.0	0.10800000000000001
Left-G_cingul-Post-dorsal	1986.0	3.088	468.0	0.153
Left-G_cingul-Post-ventral	632.0	3.0439999999999996	167.0	0.122
Left-G_cuneus	2841.0	1.868	1415.0	0.139
Left-G_front_inf-Opercular	3023.0	3.011	737.0	0.121
Left-G_front_inf-Orbital	1121.0	3.0380000000000003	264.0	0.114
Left-G_front_inf-Triangul	3026.0	2.895	764.0	0.133
Left-G_front_middle	12471.0	2.872	3270.0	0.138
Left-G_front_sup	21070.0	3.176	5262.0	0.132
Left-G_Ins_lg&S_cent_ins	1678.0	3.5839999999999996	465.0	0.129
Left-G_insular_short	3023.0	3.755	518.0	0.132
Left-G_occipital_middle	4923.0	2.6069999999999998	1452.0	0.125
Left-G_occipital_sup	2469.0	2.191	999.0	0.128
Left-G_oc-temp_lat-fusifor	4265.0	2.9730000000000003	1113.0	0.127
Left-G_oc-temp_med-Lingual	4907.0	1.936	2234.0	0.135
Left-G_oc-temp_med-Parahip	3236.0	2.992	809.0	0.075
Left-G_orbital	6790.0	3.028	1710.0	0.138
Left-G_pariet_inf-Angular	6188.0	3.022	1506.0	0.128
Left-G_pariet_inf-Supramar	5977.0	2.9610000000000003	1603.0	0.128
Left-G_parietal_sup	6645.0	2.708	1933.0	0.12
Left-G_postcentral	4674.0	2.6180000000000003	1391.0	0.11699999999999999
Left-G_precentral	5255.0	3.13	1283.0	0.09300000000000001
Left-G_precuneus	7047.0	2.835	1842.0	0.129
Left-G_rectus	2273.0	2.7110000000000003	560.0	0.126
Left-G_subcallosal	751.0	2.0069999999999997	338.0	0.095
Left-G_temp_sup-G_T_transv	1098.0	2.209	405.0	0.091
Left-G_temp_sup-Lateral	6447.0	3.312	1325.0	0.121
Left-G_temp_sup-Plan_polar	2356.0	3.485	604.0	0.057
Left-G_temp_sup-Plan_tempo	3993.0	2.645	1334.0	0.092
Left-G_temporal_inf	5732.0	3.2569999999999997	1297.0	0.132
Left-G_temporal_middle	8540.0	3.612	1621.0	0.14300000000000002
Left-Lat_Fis-ant-Horizont	620.0	2.8710000000000004	237.0	0.087
Left-Lat_Fis-ant-Vertical	608.0	2.568	284.0	0.12300000000000001
Left-Lat_Fis-post	2146.0	2.6839999999999997	961.0	0.113
Left-Pole_occipital	2983.0	2.037	1355.0	0.129
Left-Pole_temporal	5574.0	3.73	980.0	0.156
Left-S_calcarine	2655.0	1.879	1618.0	0.11699999999999999
Left-S_central	3595.0	2.02	1977.0	0.091
Left-S_cingul-Marginalis	1875.0	2.416	845.0	0.086
Left-S_circular_insula_ant	979.0	3.042	363.0	0.09300000000000001
Left-S_circular_insula_inf	1812.0	2.852	769.0	0.08
Left-S_circular_insula_sup	3081.0	2.958	1265.0	0.1
Left-S_collat_transv_ant	1854.0	3.022	597.0	0.113
Left-S_collat_transv_post	838.0	2.13	479.0	0.13699999999999998
Left-S_front_inf	3450.0	2.417	1553.0	0.1
Left-S_front_middle	2499.0	2.149	1190.0	0.11599999999999999
Left-S_front_sup	5847.0	2.625	2281.0	0.10300000000000001
Left-S_interm_prim-Jensen	727.0	2.455	368.0	0.129
Left-S_intrapariet&P_trans	4447.0	2.3369999999999997	2178.0	0.10800000000000001
Left-S_oc_middle&Lunatus	1102.0	2.274	573.0	0.127
Left-S_oc_sup&transversal	1794.0	2.153	945.0	0.10400000000000001
Left-S_occipital_ant	788.0	2.489	362.0	0.09699999999999999
Left-S_oc-temp_lat	1171.0	2.853	460.0	0.11
Left-S_oc-temp_med&Lingual	3379.0	2.404	1590.0	0.096
Left-S_orbital_lateral	533.0	2.081	305.0	0.11
Left-S_orbital_med-olfact	939.0	2.488	438.0	0.111
Left-S_orbital-H_Shaped	2714.0	2.7960000000000003	995.0	0.12
Left-S_parieto_occipital	3251.0	2.256	1518.0	0.11
Left-S_pericallosal	1099.0	1.916	789.0	0.11
Left-S_postcentral	3948.0	2.41	1782.0	0.10400000000000001
Left-S_precentral-inf-part	2487.0	2.6319999999999997	1068.0	0.115
Left-S_precentral-sup-part	1873.0	2.5989999999999998	866.0	0.109
Left-S_suborbital	656.0	2.362	324.0	0.136
Left-S_subparietal	2005.0	2.5860000000000003	906.0	0.11900000000000001
Left-S_temporal_inf	3232.0	2.846	1262.0	0.099
Left-S_temporal_sup	9722.0	2.7089999999999996	3784.0	0.094
Left-S_temporal_transverse	686.0	2.495	354.0	0.099
BrainSegVolNotVent	1212784.0	1212784.0	83999.3	1212784.0
eTIV	1633305.322812	1633305.322812	1212784.0	1633305.322812
