name	volume	thickness	area	meancurv
Left-bankssts	3047.0	2.725	1154.0	0.11
Left-caudalanteriorcingulate	1078.0	2.7539999999999996	456.0	0.145
Left-caudalmiddlefrontal	5623.0	2.6430000000000002	1936.0	0.11900000000000001
Left-cuneus	1548.0	1.6030000000000002	979.0	0.145
Left-entorhinal	2381.0	3.3930000000000002	551.0	0.111
Left-fusiform	9222.0	2.79	2906.0	0.142
Left-inferiorparietal	12787.0	2.505	4643.0	0.125
Left-inferiortemporal	10350.0	2.852	3102.0	0.127
Left-isthmuscingulate	2537.0	2.69	865.0	0.131
Left-lateraloccipital	8546.0	2.046	3880.0	0.138
Left-lateralorbitofrontal	6675.0	2.675	2333.0	0.133
Left-lingual	4655.0	1.886	2311.0	0.153
Left-medialorbitofrontal	4319.0	2.362	1621.0	0.139
Left-middletemporal	9945.0	2.8989999999999996	2817.0	0.13
Left-parahippocampal	1770.0	3.193	524.0	0.099
Left-paracentral	2905.0	2.489	1077.0	0.086
Left-parsopercularis	5348.0	2.7039999999999997	1744.0	0.135
Left-parsorbitalis	1856.0	2.625	555.0	0.131
Left-parstriangularis	3750.0	2.62	1256.0	0.121
Left-pericalcarine	922.0	1.4080000000000001	746.0	0.14
Left-postcentral	8322.0	2.138	3498.0	0.114
Left-posteriorcingulate	2699.0	2.385	1024.0	0.141
Left-precentral	12442.0	2.679	4181.0	0.107
Left-precuneus	8940.0	2.414	3552.0	0.127
Left-rostralanteriorcingulate	2068.0	3.155	582.0	0.122
Left-rostralmiddlefrontal	13582.0	2.423	4924.0	0.14400000000000002
Left-superiorfrontal	20079.0	2.74	6361.0	0.129
Left-superiorparietal	11219.0	2.167	4672.0	0.128
Left-superiortemporal	11021.0	2.85	3463.0	0.107
Left-supramarginal	11335.0	2.764	3777.0	0.14
Left-frontalpole	1106.0	3.074	251.0	0.17
Left-temporalpole	2445.0	3.891	449.0	0.163
Left-transversetemporal	1283.0	2.5469999999999997	418.0	0.109
Left-insula	6321.0	2.932	2168.0	0.115
BrainSegVolNotVent	1023416.0	1023416.0	74774.2	1023416.0
eTIV	1507233.101899	1507233.101899	1023416.0	1507233.101899
