name	volume	thickness	area	meancurv
Left-bankssts	2252.0	2.56	940.0	0.10400000000000001
Left-caudalanteriorcingulate	1508.0	3.1510000000000002	474.0	0.126
Left-caudalmiddlefrontal	5704.0	2.695	1929.0	0.106
Left-cuneus	2923.0	1.8659999999999999	1580.0	0.16
Left-entorhinal	1564.0	3.429	305.0	0.114
Left-fusiform	10006.0	2.9139999999999997	2943.0	0.128
Left-inferiorparietal	12570.0	2.6069999999999998	4393.0	0.127
Left-inferiortemporal	9937.0	2.82	2939.0	0.128
Left-isthmuscingulate	2372.0	2.497	860.0	0.139
Left-lateraloccipital	11394.0	2.106	5093.0	0.141
Left-lateralorbitofrontal	8565.0	2.792	2880.0	0.135
Left-lingual	6502.0	2.025	3144.0	0.14
Left-medialorbitofrontal	5371.0	2.427	2083.0	0.138
Left-middletemporal	11297.0	2.875	3307.0	0.131
Left-parahippocampal	1968.0	2.891	589.0	0.09
Left-paracentral	3118.0	2.369	1208.0	0.105
Left-parsopercularis	6186.0	2.6639999999999997	2051.0	0.122
Left-parsorbitalis	2706.0	2.949	722.0	0.138
Left-parstriangularis	4181.0	2.435	1571.0	0.124
Left-pericalcarine	1945.0	1.607	1409.0	0.132
Left-postcentral	8985.0	2.1519999999999997	3773.0	0.122
Left-posteriorcingulate	3828.0	2.815	1253.0	0.136
Left-precentral	13142.0	2.5580000000000003	4691.0	0.11
Left-precuneus	8797.0	2.3890000000000002	3511.0	0.124
Left-rostralanteriorcingulate	2532.0	2.872	797.0	0.11800000000000001
Left-rostralmiddlefrontal	15876.0	2.4530000000000003	5559.0	0.133
Left-superiorfrontal	22035.0	2.859	6807.0	0.132
Left-superiorparietal	13855.0	2.215	5592.0	0.121
Left-superiortemporal	10951.0	2.6239999999999997	3670.0	0.102
Left-supramarginal	9503.0	2.5580000000000003	3447.0	0.14
Left-frontalpole	948.0	2.949	207.0	0.177
Left-temporalpole	2333.0	3.523	476.0	0.14300000000000002
Left-transversetemporal	1101.0	2.585	391.0	0.132
Left-insula	7175.0	3.083	2274.0	0.122
BrainSegVolNotVent	1065717.0	1065717.0	82866.6	1065717.0
eTIV	1425825.718233	1425825.718233	1065717.0	1425825.718233
