name	intensity-avg	volume
Left-wm-bankssts	100.3978	3896.2
Left-wm-caudalanteriorcingulate	98.491	2617.5
Left-wm-caudalmiddlefrontal	100.3493	5643.3
Left-wm-cuneus	98.1558	2443.6
Left-wm-entorhinal	89.1473	739.2
Left-wm-fusiform	93.5861	6938.0
Left-wm-inferiorparietal	101.3697	11003.6
Left-wm-inferiortemporal	95.3939	6761.6
Left-wm-isthmuscingulate	99.6526	3580.7
Left-wm-lateraloccipital	96.0587	11167.4
Left-wm-lateralorbitofrontal	97.7243	6431.8
Left-wm-lingual	92.9733	5246.9
Left-wm-medialorbitofrontal	98.0585	3554.6
Left-wm-middletemporal	96.8645	5913.2
Left-wm-parahippocampal	92.1427	1623.7
Left-wm-paracentral	98.5845	3512.2
Left-wm-parsopercularis	101.0056	3040.6
Left-wm-parsorbitalis	97.8177	996.4
Left-wm-parstriangularis	101.0286	2783.1
Left-wm-pericalcarine	95.3899	3354.1
Left-wm-postcentral	98.3246	7327.1
Left-wm-posteriorcingulate	99.8547	4550.2
Left-wm-precentral	100.001	12319.3
Left-wm-precuneus	98.9013	9909.8
Left-wm-rostralanteriorcingulate	99.8864	2544.5
Left-wm-rostralmiddlefrontal	99.34100000000001	14684.4
Left-wm-superiorfrontal	97.6831	19343.7
Left-wm-superiorparietal	99.3514	11509.8
Left-wm-superiortemporal	98.7752	7936.0
Left-wm-supramarginal	102.1806	9178.4
Left-wm-frontalpole	97.4515	261.4
Left-wm-temporalpole	90.2857	680.6
Left-wm-transversetemporal	96.9384	746.4
Left-wm-insula	95.1771	9767.7
Right-wm-bankssts	99.9178	3197.7
Right-wm-caudalanteriorcingulate	96.98299999999999	2544.3
Right-wm-caudalmiddlefrontal	98.2119	6672.8
Right-wm-cuneus	97.1464	2764.1
Right-wm-entorhinal	88.9819	735.6
Right-wm-fusiform	92.9649	6805.1
Right-wm-inferiorparietal	99.46799999999999	11026.9
Right-wm-inferiortemporal	94.1889	6463.7
Right-wm-isthmuscingulate	100.0659	3073.6
Right-wm-lateraloccipital	97.1433	9992.8
Right-wm-lateralorbitofrontal	97.5614	7238.2
Right-wm-lingual	93.5052	5418.1
Right-wm-medialorbitofrontal	97.8272	3703.5
Right-wm-middletemporal	96.8433	6947.7
Right-wm-parahippocampal	91.5432	1611.2
Right-wm-paracentral	98.6758	4421.9
Right-wm-parsopercularis	99.5538	2507.7
Right-wm-parsorbitalis	97.6205	1428.1
Right-wm-parstriangularis	99.9961	2848.8
Right-wm-pericalcarine	92.7317	3451.5
Right-wm-postcentral	96.9752	7377.0
Right-wm-posteriorcingulate	99.5923	4393.9
Right-wm-precentral	98.21600000000001	12025.2
Right-wm-precuneus	98.6074	10817.2
Right-wm-rostralanteriorcingulate	98.7926	2123.6
Right-wm-rostralmiddlefrontal	98.2815	14157.8
Right-wm-superiorfrontal	97.5935	18402.2
Right-wm-superiorparietal	98.5083	11998.5
Right-wm-superiortemporal	98.2969	8127.9
Right-wm-supramarginal	100.6977	10015.6
Right-wm-frontalpole	93.7117	334.9
Right-wm-temporalpole	87.816	546.7
Right-wm-transversetemporal	94.71600000000001	515.3
Right-wm-insula	93.7752	9869.0
Left-UnsegmentedWhiteMatter	98.7413	27880.1
Right-UnsegmentedWhiteMatter	97.7905	27798.0
