name	intensity-avg	volume
Left-wm-bankssts	102.6609	2228.6
Left-wm-caudalanteriorcingulate	99.575	2529.0
Left-wm-caudalmiddlefrontal	100.4731	6485.7
Left-wm-cuneus	98.8763	2885.8
Left-wm-entorhinal	90.4537	1042.9
Left-wm-fusiform	93.552	7267.3
Left-wm-inferiorparietal	100.8921	9007.7
Left-wm-inferiortemporal	95.8581	5541.1
Left-wm-isthmuscingulate	100.4901	3281.0
Left-wm-lateraloccipital	94.8353	11560.1
Left-wm-lateralorbitofrontal	98.537	7060.5
Left-wm-lingual	91.8848	5278.8
Left-wm-medialorbitofrontal	99.7513	3843.9
Left-wm-middletemporal	98.4988	5738.7
Left-wm-parahippocampal	91.0893	1624.6
Left-wm-paracentral	97.70200000000001	3719.9
Left-wm-parsopercularis	102.527	4179.9
Left-wm-parsorbitalis	99.8236	994.6
Left-wm-parstriangularis	102.3891	3535.3
Left-wm-pericalcarine	93.4085	3493.2
Left-wm-postcentral	99.9275	7945.0
Left-wm-posteriorcingulate	100.2913	4066.8
Left-wm-precentral	99.6068	13158.9
Left-wm-precuneus	100.2415	8711.6
Left-wm-rostralanteriorcingulate	97.9626	2376.0
Left-wm-rostralmiddlefrontal	99.3435	12501.9
Left-wm-superiorfrontal	98.6721	20481.2
Left-wm-superiorparietal	99.4926	11922.9
Left-wm-superiortemporal	100.3601	8984.9
Left-wm-supramarginal	102.9933	10636.7
Left-wm-frontalpole	99.7789	313.0
Left-wm-temporalpole	89.5867	618.1
Left-wm-transversetemporal	98.4733	801.9
Left-wm-insula	96.0944	10831.1
Right-wm-bankssts	100.0516	2034.9
Right-wm-caudalanteriorcingulate	98.0738	2835.1
Right-wm-caudalmiddlefrontal	99.2014	5532.7
Right-wm-cuneus	98.2819	2904.9
Right-wm-entorhinal	88.3206	888.5
Right-wm-fusiform	92.8321	6951.8
Right-wm-inferiorparietal	100.5499	10586.0
Right-wm-inferiortemporal	95.6491	6949.1
Right-wm-isthmuscingulate	101.7635	3197.3
Right-wm-lateraloccipital	95.662	11412.8
Right-wm-lateralorbitofrontal	96.5646	8297.4
Right-wm-lingual	92.6387	5356.3
Right-wm-medialorbitofrontal	98.9147	3819.5
Right-wm-middletemporal	97.2207	5729.1
Right-wm-parahippocampal	91.1188	1462.8
Right-wm-paracentral	98.3099	4813.4
Right-wm-parsopercularis	101.0435	3541.8
Right-wm-parsorbitalis	98.5067	1253.8
Right-wm-parstriangularis	101.213	4229.3
Right-wm-pericalcarine	92.1139	3348.8
Right-wm-postcentral	98.3961	7259.0
Right-wm-posteriorcingulate	99.8306	3547.6
Right-wm-precentral	99.116	14582.8
Right-wm-precuneus	100.2795	9396.3
Right-wm-rostralanteriorcingulate	97.9087	1997.9
Right-wm-rostralmiddlefrontal	98.7274	12197.1
Right-wm-superiorfrontal	97.5624	18739.4
Right-wm-superiorparietal	98.913	12935.8
Right-wm-superiortemporal	98.5461	7639.5
Right-wm-supramarginal	101.9871	9887.2
Right-wm-frontalpole	94.6032	316.3
Right-wm-temporalpole	87.5383	570.8
Right-wm-transversetemporal	97.3959	636.0
Right-wm-insula	95.89	10316.1
Left-UnsegmentedWhiteMatter	99.2943	26777.7
Right-UnsegmentedWhiteMatter	99.1905	27613.0
