name	volume	thickness	area	meancurv
Left-bankssts	2828.0	2.824	1053.0	0.10800000000000001
Left-caudalanteriorcingulate	1215.0	3.0789999999999997	434.0	0.145
Left-caudalmiddlefrontal	5836.0	2.967	1837.0	0.114
Left-cuneus	2729.0	1.916	1375.0	0.136
Left-entorhinal	2096.0	3.685	398.0	0.106
Left-fusiform	8250.0	2.7689999999999997	2802.0	0.122
Left-inferiorparietal	12157.0	2.638	4346.0	0.122
Left-inferiortemporal	11550.0	2.971	3418.0	0.126
Left-isthmuscingulate	2334.0	2.336	893.0	0.125
Left-lateraloccipital	10643.0	2.108	4631.0	0.136
Left-lateralorbitofrontal	7177.0	2.9810000000000003	2280.0	0.136
Left-lingual	6913.0	2.142	2995.0	0.138
Left-medialorbitofrontal	4333.0	2.469	1555.0	0.128
Left-middletemporal	11011.0	3.045	2949.0	0.131
Left-parahippocampal	2306.0	2.7430000000000003	720.0	0.07
Left-paracentral	3431.0	2.673	1163.0	0.091
Left-parsopercularis	4188.0	2.917	1233.0	0.12
Left-parsorbitalis	2375.0	3.125	610.0	0.135
Left-parstriangularis	3529.0	3.037	1032.0	0.11599999999999999
Left-pericalcarine	1803.0	1.556	1311.0	0.136
Left-postcentral	7878.0	2.126	3442.0	0.11
Left-posteriorcingulate	2585.0	2.6180000000000003	927.0	0.131
Left-precentral	13763.0	2.945	4278.0	0.098
Left-precuneus	8250.0	2.497	3041.0	0.121
Left-rostralanteriorcingulate	2296.0	2.764	743.0	0.145
Left-rostralmiddlefrontal	15544.0	2.553	5346.0	0.133
Left-superiorfrontal	24399.0	3.16	6655.0	0.122
Left-superiorparietal	11847.0	2.315	4686.0	0.109
Left-superiortemporal	13276.0	3.057	3692.0	0.11199999999999999
Left-supramarginal	10023.0	2.748	3352.0	0.128
Left-frontalpole	811.0	2.5639999999999996	241.0	0.15
Left-temporalpole	2194.0	3.602	449.0	0.129
Left-transversetemporal	955.0	2.589	360.0	0.136
Left-insula	6969.0	3.033	2311.0	0.109
BrainSegVolNotVent	1090074.0	1090074.0	76553.0	1090074.0
eTIV	1521894.9150629998	1521894.9150629998	1090074.0	1521894.9150629998
