name	intensity-avg	volume
Left-wm-bankssts	102.9903	3947.9
Left-wm-caudalanteriorcingulate	101.4161	3336.4
Left-wm-caudalmiddlefrontal	99.3914	7089.0
Left-wm-cuneus	98.2339	2392.5
Left-wm-entorhinal	86.6181	1548.5
Left-wm-fusiform	94.1335	6976.8
Left-wm-inferiorparietal	102.4424	11327.8
Left-wm-inferiortemporal	93.1683	7120.1
Left-wm-isthmuscingulate	100.6005	4155.5
Left-wm-lateraloccipital	96.7088	8941.2
Left-wm-lateralorbitofrontal	97.6538	8578.2
Left-wm-lingual	93.006	5376.5
Left-wm-medialorbitofrontal	98.6408	4524.5
Left-wm-middletemporal	97.6362	8260.8
Left-wm-parahippocampal	90.1685	1446.7
Left-wm-paracentral	99.5085	3396.4
Left-wm-parsopercularis	101.2038	3764.8
Left-wm-parsorbitalis	96.9991	1170.8
Left-wm-parstriangularis	101.7452	3605.2
Left-wm-pericalcarine	96.6791	3617.5
Left-wm-postcentral	100.7413	7810.0
Left-wm-posteriorcingulate	100.8824	4701.9
Left-wm-precentral	100.5212	13311.2
Left-wm-precuneus	100.0103	10465.8
Left-wm-rostralanteriorcingulate	97.9501	2914.7
Left-wm-rostralmiddlefrontal	100.0274	14762.2
Left-wm-superiorfrontal	98.8109	17408.6
Left-wm-superiorparietal	100.9353	13724.4
Left-wm-superiortemporal	99.4112	9237.4
Left-wm-supramarginal	104.3576	10348.7
Left-wm-frontalpole	99.2052	322.9
Left-wm-temporalpole	84.2041	663.5
Left-wm-transversetemporal	95.0938	774.2
Left-wm-insula	94.041	10599.4
Right-wm-bankssts	100.8152	2432.1
Right-wm-caudalanteriorcingulate	100.1025	2371.9
Right-wm-caudalmiddlefrontal	98.1527	5775.7
Right-wm-cuneus	98.4542	2594.4
Right-wm-entorhinal	88.2891	1076.1
Right-wm-fusiform	92.9242	6592.4
Right-wm-inferiorparietal	99.4711	15253.8
Right-wm-inferiortemporal	94.6527	7684.0
Right-wm-isthmuscingulate	100.7901	3411.4
Right-wm-lateraloccipital	95.5408	10939.9
Right-wm-lateralorbitofrontal	97.4547	8117.0
Right-wm-lingual	92.9723	6039.4
Right-wm-medialorbitofrontal	98.5149	4069.1
Right-wm-middletemporal	97.7677	7597.9
Right-wm-parahippocampal	90.8374	1477.7
Right-wm-paracentral	99.3312	4946.9
Right-wm-parsopercularis	98.9822	3614.5
Right-wm-parsorbitalis	98.7208	1612.3
Right-wm-parstriangularis	101.427	4762.5
Right-wm-pericalcarine	95.6753	3698.9
Right-wm-postcentral	97.7396	7078.6
Right-wm-posteriorcingulate	100.2552	4683.9
Right-wm-precentral	98.7059	14117.6
Right-wm-precuneus	99.3572	9735.6
Right-wm-rostralanteriorcingulate	99.0883	1897.8
Right-wm-rostralmiddlefrontal	99.1743	14588.7
Right-wm-superiorfrontal	98.1066	19170.1
Right-wm-superiorparietal	99.5066	13996.2
Right-wm-superiortemporal	97.7115	7031.6
Right-wm-supramarginal	101.32	9306.4
Right-wm-frontalpole	98.4883	399.1
Right-wm-temporalpole	88.8416	779.6
Right-wm-transversetemporal	93.3895	603.5
Right-wm-insula	93.5712	11321.9
Left-UnsegmentedWhiteMatter	98.5648	31951.9
Right-UnsegmentedWhiteMatter	98.4024	33325.8
