name	intensity-avg	volume
Left-wm-bankssts	101.95100000000001	2232.1
Left-wm-caudalanteriorcingulate	100.2565	2606.7
Left-wm-caudalmiddlefrontal	98.4158	6726.5
Left-wm-cuneus	98.426	3212.4
Left-wm-entorhinal	91.7391	1027.6
Left-wm-fusiform	94.6828	5985.9
Left-wm-inferiorparietal	100.448	8690.1
Left-wm-inferiortemporal	97.6083	6058.5
Left-wm-isthmuscingulate	99.9308	3997.3
Left-wm-lateraloccipital	97.319	11085.3
Left-wm-lateralorbitofrontal	97.0825	6899.0
Left-wm-lingual	94.2896	6101.4
Left-wm-medialorbitofrontal	98.6249	3633.4
Left-wm-middletemporal	99.2716	5028.3
Left-wm-parahippocampal	92.609	1625.6
Left-wm-paracentral	97.4678	4107.5
Left-wm-parsopercularis	99.9905	3177.5
Left-wm-parsorbitalis	98.6203	1001.7
Left-wm-parstriangularis	101.4934	3273.5
Left-wm-pericalcarine	96.7741	4304.6
Left-wm-postcentral	97.2465	7656.8
Left-wm-posteriorcingulate	100.2943	4857.7
Left-wm-precentral	97.9995	13556.6
Left-wm-precuneus	99.5159	9440.5
Left-wm-rostralanteriorcingulate	99.2962	2219.9
Left-wm-rostralmiddlefrontal	99.4792	15637.6
Left-wm-superiorfrontal	98.8551	20840.8
Left-wm-superiorparietal	98.4638	12613.7
Left-wm-superiortemporal	100.0683	8373.7
Left-wm-supramarginal	101.23	8968.1
Left-wm-frontalpole	97.9467	248.4
Left-wm-temporalpole	91.9806	503.4
Left-wm-transversetemporal	96.4551	871.7
Left-wm-insula	95.2593	10176.0
Right-wm-bankssts	99.5083	1919.8
Right-wm-caudalanteriorcingulate	98.8017	2794.7
Right-wm-caudalmiddlefrontal	98.4129	7628.6
Right-wm-cuneus	100.3288	3270.7
Right-wm-entorhinal	88.2719	787.2
Right-wm-fusiform	92.0751	4829.8
Right-wm-inferiorparietal	99.9782	10151.2
Right-wm-inferiortemporal	94.6335	5428.7
Right-wm-isthmuscingulate	100.5349	3496.0
Right-wm-lateraloccipital	95.8781	9962.9
Right-wm-lateralorbitofrontal	97.5023	6779.1
Right-wm-lingual	95.2367	7390.0
Right-wm-medialorbitofrontal	98.0531	3819.0
Right-wm-middletemporal	96.0889	6201.0
Right-wm-parahippocampal	90.7006	1680.9
Right-wm-paracentral	98.3459	5578.7
Right-wm-parsopercularis	99.243	2507.9
Right-wm-parsorbitalis	97.9079	1424.6
Right-wm-parstriangularis	101.3029	3039.9
Right-wm-pericalcarine	97.2851	4209.9
Right-wm-postcentral	98.3856	8916.4
Right-wm-posteriorcingulate	100.6726	4357.7
Right-wm-precentral	98.6732	14828.5
Right-wm-precuneus	99.9622	9625.8
Right-wm-rostralanteriorcingulate	99.2274	1534.1
Right-wm-rostralmiddlefrontal	98.6546	12672.5
Right-wm-superiorfrontal	98.5902	21424.6
Right-wm-superiorparietal	98.9383	11655.3
Right-wm-superiortemporal	97.0711	7208.3
Right-wm-supramarginal	101.1296	9273.2
Right-wm-frontalpole	96.4132	303.3
Right-wm-temporalpole	88.8203	584.9
Right-wm-transversetemporal	95.2609	612.9
Right-wm-insula	93.9783	10009.4
Left-UnsegmentedWhiteMatter	99.4311	37455.4
Right-UnsegmentedWhiteMatter	99.0542	38155.4
