name	volume	thickness	area	meancurv
Left-bankssts	2469.0	2.668	1000.0	0.10400000000000001
Left-caudalanteriorcingulate	1912.0	2.935	599.0	0.128
Left-caudalmiddlefrontal	5765.0	2.583	2102.0	0.10800000000000001
Left-cuneus	2433.0	1.501	1594.0	0.131
Left-entorhinal	2579.0	3.2710000000000004	680.0	0.099
Left-fusiform	11562.0	2.6830000000000003	3988.0	0.127
Left-inferiorparietal	12340.0	2.476	4677.0	0.113
Left-inferiortemporal	12042.0	2.792	3776.0	0.131
Left-isthmuscingulate	2633.0	2.431	955.0	0.133
Left-lateraloccipital	12463.0	2.035	5769.0	0.135
Left-lateralorbitofrontal	8026.0	2.6510000000000002	2862.0	0.13
Left-lingual	6319.0	1.7890000000000001	3594.0	0.153
Left-medialorbitofrontal	5011.0	2.319	2082.0	0.124
Left-middletemporal	9834.0	2.76	3013.0	0.128
Left-parahippocampal	2202.0	2.8480000000000003	707.0	0.105
Left-paracentral	3159.0	2.405	1214.0	0.08800000000000001
Left-parsopercularis	4633.0	2.7769999999999997	1489.0	0.114
Left-parsorbitalis	2864.0	2.8480000000000003	826.0	0.134
Left-parstriangularis	3044.0	2.575	1100.0	0.11900000000000001
Left-pericalcarine	1720.0	1.492	1373.0	0.14
Left-postcentral	8759.0	2.002	4089.0	0.109
Left-posteriorcingulate	3182.0	2.728	1088.0	0.138
Left-precentral	13292.0	2.555	4694.0	0.10400000000000001
Left-precuneus	10356.0	2.421	4307.0	0.128
Left-rostralanteriorcingulate	3144.0	3.052	895.0	0.142
Left-rostralmiddlefrontal	17010.0	2.339	6341.0	0.131
Left-superiorfrontal	25735.0	2.875	8060.0	0.121
Left-superiorparietal	13809.0	2.138	5841.0	0.113
Left-superiortemporal	14185.0	2.9989999999999997	4145.0	0.113
Left-supramarginal	13541.0	2.64	4745.0	0.129
Left-frontalpole	794.0	2.54	252.0	0.155
Left-temporalpole	2742.0	3.803	500.0	0.11900000000000001
Left-transversetemporal	1019.0	2.279	451.0	0.122
Left-insula	7210.0	3.195	2380.0	0.121
BrainSegVolNotVent	1243760.0	1243760.0	91173.9	1243760.0
eTIV	1674445.778381	1674445.778381	1243760.0	1674445.778381
